run_games,seed,run_mode,competitors,rotate_seats,workers,code_revision,elapsed_seconds,card,free_pick_rate,free_pick_offers,free_picks,win_rate,win_credit_when_acquired,player_games_with_card,fun_added,fun_total_with_card,player_games_without_card,fun_total_without_card,offers,picks,pick_rate,acquisitions,plays,plays_without_acquisition,play_rate,win_rate_when_picked,win_rate_when_acquired
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,San Juan,0.38461538461538464,13,5,0.0,0.0,6,-4.641025641025642,340,26,1594,13,5,0.38461538461538464,6,6,0,1.0,0.0,0.0
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Schwank,0.16666666666666666,18,3,0.75,3.0,4,13.785714285714285,290,28,1644,18,3,0.16666666666666666,4,1,0,0.25,0.6666666666666666,0.75
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Scout the Other Cottages,0.3,10,3,0.16666666666666666,1.0,6,1.7179487179487225,371,26,1563,10,3,0.3,6,0,0,0.0,0.0,0.16666666666666666
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Scrabble,0.09433962264150944,53,5,0.14285714285714285,1.0,7,-3.1199999999999974,406,25,1528,53,5,0.09433962264150944,7,4,0,0.5714285714285714,0.2,0.14285714285714285
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Screamer Battle,0.7142857142857143,7,5,0.4,2.0,5,1.140740740740739,307,27,1627,7,5,0.7142857142857143,5,4,0,0.8,0.4,0.4
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Settlers (Cities and Knights),0.75,8,6,0.5,3.0,6,3.974358974358971,382,26,1552,8,6,0.75,6,5,0,0.8333333333333334,0.5,0.5
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Shady Spot,0.5,8,4,0.16666666666666666,1.0,6,5.615384615384613,390,26,1544,8,4,0.5,6,1,0,0.16666666666666666,0.0,0.16666666666666666
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Sing Song,0.6,5,3,0.5,2.0,4,0.6428571428571459,244,28,1690,5,3,0.6,4,4,0,1.0,0.3333333333333333,0.5
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Ski Boat,0.1276595744680851,47,6,0.3333333333333333,2.0,6,1.3076923076923066,369,26,1565,47,6,0.1276595744680851,6,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Ski on Cousin's Shoulders,0.25,12,3,0.4,2.0,5,1.6148148148148138,309,27,1625,12,3,0.25,5,5,0,1.0,0.3333333333333333,0.4
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Slalom Start,0.36363636363636365,11,4,0.16666666666666666,1.0,6,-6.487179487179489,331,26,1603,11,4,0.36363636363636365,6,1,0,0.16666666666666666,0.25,0.16666666666666666
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Sleep In,0.3181818181818182,22,7,0.5714285714285714,4.0,7,6.9371428571428595,461,25,1473,22,7,0.3181818181818182,7,2,0,0.2857142857142857,0.5714285714285714,0.5714285714285714
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Solo,0.5714285714285714,7,4,0.2,1.0,5,5.407407407407405,325,27,1609,7,4,0.5714285714285714,5,5,0,1.0,0.25,0.2
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Spikeball,0.8333333333333334,6,5,0.2857142857142857,2.0,7,-1.8400000000000034,413,25,1521,7,5,0.7142857142857143,7,7,0,1.0,0.4,0.2857142857142857
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Splendor,0.2857142857142857,7,2,0.3333333333333333,1.0,3,-6.0,165,29,1769,7,2,0.2857142857142857,3,2,0,0.6666666666666666,0.5,0.3333333333333333
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Stay Up Late,0.4166666666666667,12,5,0.125,1.0,8,-7.583333333333336,438,24,1496,12,5,0.4166666666666667,8,8,0,1.0,0.2,0.125
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Steak,1.0,1,1,0.4,2.0,5,-1.4666666666666615,296,27,1638,1,1,1.0,5,4,0,0.8,0.0,0.4
