run_games,seed,run_mode,competitors,rotate_seats,daily_conditions,workers,code_revision,elapsed_seconds,condition,days,player_days,fun_total,average_daily_fun,overall_player_days,overall_fun_total,overall_average_daily_fun,fun_difference
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Rainy Day,4,16,133,8.3125,192,1592,8.291666666666666,0.020833333333333925
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Beautiful Day,7,28,269,9.607142857142858,192,1592,8.291666666666666,1.3154761904761916
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Plumbing Issue,6,24,182,7.583333333333333,192,1592,8.291666666666666,-0.708333333333333
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Sickness Spreading,7,28,208,7.428571428571429,192,1592,8.291666666666666,-0.8630952380952372
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,New Arrivals,7,28,240,8.571428571428571,192,1592,8.291666666666666,0.2797619047619051
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Brutally Hot Day,5,20,161,8.05,192,1592,8.291666666666666,-0.24166666666666536
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Everyone Booked,5,20,180,9.0,192,1592,8.291666666666666,0.7083333333333339
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Normal day,7,28,219,7.821428571428571,192,1592,8.291666666666666,-0.4702380952380949
